manufacturer,device,param_id,name,categories,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Elektron,Digitone II,47869443,T2 SYN Noise Type,syn/wavetone,62,,0,2,1,95,0,2,0-based,,0: Grain; 1: Tuned; 2: S&W
Elektron,Digitone II,47869442,T1 SYN Noise Type,syn/wavetone,62,,0,2,1,95,0,2,0-based,,0: Grain; 1: Tuned; 2: S&W
Elektron,Digitone II,1509751792,T16 SYN Noise Width,syn/fmdrum,75,,0,127,1,102,0,127,0-based,,
Elektron,Digitone II,1509751791,T15 SYN Noise Width,syn/fmdrum,75,,0,127,1,102,0,127,0-based,,
Elektron,Digitone II,1509751790,T14 SYN Noise Width,syn/fmdrum,75,,0,127,1,102,0,127,0-based,,
Elektron,Digitone II,1509751789,T13 SYN Noise Width,syn/fmdrum,75,,0,127,1,102,0,127,0-based,,
Elektron,Digitone II,1509751788,T12 SYN Noise Width,syn/fmdrum,75,,0,127,1,102,0,127,0-based,,
Elektron,Digitone II,1509751787,T11 SYN Noise Width,syn/fmdrum,75,,0,127,1,102,0,127,0-based,,
Elektron,Digitone II,48701677,T10 SYN Noise Width,syn/fmdrum,75,,0,127,1,102,0,127,0-based,,
Elektron,Digitone II,48701676,T9 SYN Noise Width,syn/fmdrum,75,,0,127,1,102,0,127,0-based,,
Elektron,Digitone II,48701675,T8 SYN Noise Width,syn/fmdrum,75,,0,127,1,102,0,127,0-based,,
Elektron,Digitone II,48701674,T7 SYN Noise Width,syn/fmdrum,75,,0,127,1,102,0,127,0-based,,
Elektron,Digitone II,48701673,T6 SYN Noise Width,syn/fmdrum,75,,0,127,1,102,0,127,0-based,,
Elektron,Digitone II,48701672,T5 SYN Noise Width,syn/fmdrum,75,,0,127,1,102,0,127,0-based,,
Elektron,Digitone II,48701671,T4 SYN Noise Width,syn/fmdrum,75,,0,127,1,102,0,127,0-based,,
Elektron,Digitone II,48701670,T3 SYN Noise Width,syn/fmdrum,75,,0,127,1,102,0,127,0-based,,
Elektron,Digitone II,48701669,T2 SYN Noise Width,syn/fmdrum,75,,0,127,1,102,0,127,0-based,,
Elektron,Digitone II,48701668,T1 SYN Noise Width,syn/fmdrum,75,,0,127,1,102,0,127,0-based,,
